Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/13,11:00:00,32.08,39.15,20.23,93.0,28.7,60.9,1021.45,0.0
2026/07/13,11:20:00,31.08,41.68,20.26,92.88,28.3,62.04,1021.08,0.0
2026/07/13,11:40:00,35.52,33.75,20.41,92.95,29.69,59.43,1021.28,0.0
2026/07/13,12:00:00,39.01,25.4,20.52,91.85,32.56,50.85,1021.38,0.0
2026/07/13,12:20:00,38.29,26.15,20.85,92.32,32.84,49.42,1021.4,0.0
2026/07/13,12:40:00,38.96,24.7,21.09,93.78,33.1,48.54,1021.55,0.0
2026/07/13,13:00:00,38.48,24.55,21.48,93.68,33.8,46.15,1021.6,0.0
2026/07/13,13:20:00,35.83,27.25,21.73,94.0,32.83,45.98,1021.1,0.0
2026/07/13,13:40:00,37.98,24.8,21.98,94.7,33.61,45.91,1021.3,0.0
2026/07/13,14:00:00,39.17,22.75,22.41,94.88,34.94,42.31,1021.48,0.0
2026/07/13,14:20:00,36.22,24.35,22.56,95.0,33.6,42.13,1021.65,0.0
2026/07/13,14:40:00,37.94,22.68,22.49,95.0,33.56,42.81,1021.4,0.0
2026/07/13,15:00:00,37.46,22.28,22.54,95.0,33.57,41.84,1021.58,0.0
2026/07/13,15:20:00,36.4,22.85,22.61,95.0,32.84,41.48,1021.0,0.0
2026/07/13,15:40:00,35.09,24.5,22.56,95.0,31.96,42.16,1020.92,0.0
2026/07/13,16:00:00,33.11,29.18,22.66,95.0,30.96,45.16,1021.75,0.0
2026/07/13,16:20:00,29.04,36.2,22.81,95.0,28.76,49.28,1021.45,0.0
2026/07/13,16:40:00,27.58,40.1,22.99,95.0,27.49,53.56,1020.9,0.0
2026/07/13,17:00:00,27.42,41.3,23.2,95.0,27.01,56.66,1021.2,0.0
2026/07/13,17:20:00,25.44,45.52,23.34,95.0,26.11,58.18,1021.25,0.0
2026/07/13,17:40:00,23.68,52.72,23.29,95.0,25.12,65.12,1021.02,0.0
2026/07/13,18:00:00,22.06,59.82,23.1,95.0,23.97,70.37,1021.55,0.0
2026/07/13,18:20:00,21.13,65.12,23.06,94.5,23.25,73.2,1020.5,0.0
2026/07/13,18:40:00,20.44,71.05,23.11,95.0,22.79,74.66,1021.32,0.0
2026/07/13,19:00:00,19.71,74.75,23.08,95.0,22.29,76.65,1021.48,0.0
2026/07/13,19:20:00,18.53,80.82,22.98,95.0,21.66,77.44,1021.22,0.0
2026/07/13,19:40:00,17.32,86.55,22.8,95.0,20.85,78.4,1021.08,0.0
2026/07/13,20:00:00,17.25,89.38,22.64,95.0,20.43,79.44,1020.75,0.0
2026/07/13,20:20:00,16.83,90.92,22.6,95.0,20.13,80.42,1021.15,0.0
2026/07/13,20:40:00,16.6,91.85,22.59,95.0,19.84,81.28,1021.25,0.0
2026/07/13,21:00:00,16.72,92.0,22.54,95.0,19.77,82.28,1021.38,0.0
2026/07/13,21:20:00,15.97,91.58,22.46,95.0,19.54,82.56,1020.85,0.0
2026/07/13,21:40:00,15.31,91.0,22.28,95.0,19.16,83.28,1021.25,0.0
2026/07/13,22:00:00,15.55,91.01,22.78,95.0,19.17,82.29,1021.14,0.0
