Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/16,11:20:00,39.12,27.25,22.84,95.0,39.32,32.05,1021.3,0.0
2026/07/16,11:40:00,40.61,26.25,22.85,95.0,40.54,30.92,1021.32,0.0
2026/07/16,12:00:00,41.59,25.89,23.07,95.0,41.32,29.95,1021.31,0.0
2026/07/16,12:20:00,40.32,25.81,22.98,95.0,40.86,29.56,1021.26,0.0
2026/07/16,12:40:00,39.95,25.81,23.0,95.0,40.37,29.39,1021.38,0.0
2026/07/16,13:00:00,40.18,25.49,23.08,95.0,39.87,29.9,1021.35,0.0
2026/07/16,13:20:00,40.25,25.34,23.15,95.0,39.3,30.21,1021.15,0.0
2026/07/16,13:40:00,40.46,24.38,23.24,95.0,38.53,29.95,1021.19,0.0
2026/07/16,14:00:00,40.43,24.04,23.35,95.0,36.97,31.52,1021.16,0.0
2026/07/16,14:20:00,39.3,24.9,23.43,95.0,35.31,33.34,1021.08,0.0
2026/07/16,14:40:00,38.82,25.53,23.53,95.0,33.95,35.49,1021.27,0.0
2026/07/16,15:00:00,38.05,25.64,23.59,95.0,32.98,37.24,1021.34,0.0
2026/07/16,15:20:00,36.34,26.53,23.61,95.0,31.68,38.47,1021.12,0.0
2026/07/16,15:40:00,35.09,27.34,23.76,95.0,30.38,40.42,1021.15,0.0
2026/07/16,16:00:00,33.69,29.05,23.9,95.0,29.47,41.78,1021.14,0.0
2026/07/16,16:20:00,31.98,29.99,24.2,95.0,28.37,42.24,1021.04,0.0
2026/07/16,16:40:00,30.43,31.26,24.27,95.0,27.67,43.59,1021.05,0.0
2026/07/16,17:00:00,28.12,32.57,24.33,95.0,26.63,45.63,1021.04,0.0
2026/07/16,17:20:00,25.18,36.24,24.39,95.0,25.57,47.71,1021.03,0.0
2026/07/16,17:40:00,23.69,39.21,24.46,95.0,24.71,48.9,1021.01,0.0
2026/07/16,18:00:00,22.21,42.65,24.49,95.0,23.77,51.36,1021.07,0.0
2026/07/16,18:20:00,19.52,48.53,24.54,95.0,22.19,55.52,1021.08,0.0
2026/07/16,18:40:00,18.79,51.97,24.58,95.0,21.27,58.88,1021.07,0.0
2026/07/16,19:00:00,17.74,55.42,24.61,95.0,20.44,61.34,1021.02,0.0
2026/07/16,19:20:00,18.47,53.43,24.62,95.0,20.27,62.78,1021.13,0.0
2026/07/16,19:40:00,18.59,52.78,24.62,95.0,20.31,62.69,1021.09,0.0
2026/07/16,20:00:00,18.74,51.58,24.62,95.0,20.3,61.92,1021.06,0.0
2026/07/16,20:20:00,19.05,49.88,24.6,95.0,20.34,61.29,1021.07,0.0
2026/07/16,20:40:00,18.28,52.47,24.59,95.0,20.02,62.02,1021.1,0.0
2026/07/16,21:00:00,19.21,49.23,24.55,95.0,20.23,60.74,1021.11,0.0
2026/07/16,21:20:00,19.67,47.12,24.51,95.0,20.76,58.55,1021.11,0.0
2026/07/16,21:40:00,19.45,47.24,24.44,95.0,20.56,58.31,1021.13,0.0
2026/07/16,22:00:00,19.58,46.1,24.36,95.0,20.66,56.85,1021.11,0.0
2026/07/16,22:20:00,19.13,46.97,24.24,95.0,20.39,56.86,1021.1,0.0
