Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/07/21,09:40:00,23.77,55.82,19.9,93.0,23.73,70.09,1021.26,0.0
2026/07/21,10:00:00,26.48,47.54,20.2,93.0,24.48,66.3,1021.02,0.0
2026/07/21,10:20:00,26.6,46.33,20.41,93.0,25.46,62.27,1021.12,0.0
2026/07/21,10:40:00,26.21,46.58,20.62,93.0,26.23,60.08,1021.3,0.0
2026/07/21,11:00:00,26.17,45.6,20.65,93.0,26.37,58.54,1021.04,0.0
2026/07/21,11:20:00,25.86,46.34,20.71,93.0,26.15,58.91,1021.28,0.0
2026/07/21,11:40:00,26.07,46.19,20.77,93.05,26.12,59.16,1021.07,0.0
2026/07/21,12:00:00,27.33,43.67,20.86,93.28,26.5,58.53,1021.02,0.0
2026/07/21,12:20:00,26.91,45.22,20.93,93.46,26.67,57.98,1021.31,0.0
2026/07/21,12:40:00,26.25,45.58,20.96,93.6,26.57,57.47,1021.06,0.0
2026/07/21,13:00:00,26.82,45.21,20.99,93.86,26.74,58.32,1021.24,0.0
2026/07/21,13:20:00,25.58,46.57,21.0,93.94,26.32,58.48,1021.28,0.0
2026/07/21,13:40:00,25.12,48.6,21.05,94.0,25.81,60.18,1021.25,0.0
2026/07/21,14:00:00,24.73,49.69,21.12,94.0,25.47,61.97,1021.03,0.0
2026/07/21,14:20:00,24.54,49.95,21.23,94.0,25.19,62.31,1021.27,0.0
2026/07/21,14:40:00,24.12,51.8,21.41,94.0,24.86,63.39,1021.01,0.0
2026/07/21,15:00:00,23.69,53.37,21.54,94.0,24.51,64.93,1021.0,0.0
2026/07/21,15:20:00,23.5,55.06,21.7,94.0,24.25,66.12,1021.0,0.0
2026/07/21,15:40:00,23.17,55.68,21.84,94.13,23.96,67.03,1021.08,0.0
2026/07/21,16:00:00,22.55,55.86,21.96,94.77,23.48,67.1,1021.29,0.0
2026/07/21,16:20:00,22.11,56.0,22.01,94.98,23.01,66.89,1020.89,0.0
2026/07/21,16:40:00,21.47,55.96,22.06,94.99,22.59,67.42,1021.28,0.0
