Data,Hora,T1(C),H1(%),T2(C),H2(%),T3(C),H3(%),Solo_Bruto,Solo(%)
2026/7/15,10:46:11,nan,nan,nan,nan,nan,nan,1023,0
2026/7/15,10:46:16,27.6,51.0,27.6,60.0,28.2,61.2,1021,0
2026/7/15,10:46:21,27.5,51.0,27.7,58.0,28.2,61.0,1023,0
2026/7/15,10:46:26,27.5,51.0,27.6,56.0,28.2,60.9,1023,0
2026/7/15,10:46:31,27.3,51.0,27.7,58.0,28.2,60.8,1023,0
2026/7/15,10:46:36,27.4,51.0,27.8,60.0,28.2,61.0,1019,0
2026/7/15,10:46:41,27.7,52.0,27.7,61.0,28.3,63.3,1019,0
2026/7/15,10:46:46,27.6,52.0,27.9,62.0,28.3,63.3,1023,0
2026/7/15,10:46:51,27.6,52.0,27.7,62.0,28.3,63.3,1023,0
2026/7/15,10:46:56,27.5,51.0,27.9,63.0,28.3,63.1,1021,0
2026/7/15,10:47:1,27.6,51.0,28.1,65.0,28.4,63.1,1023,0
2026/7/15,10:47:6,27.3,51.0,28.1,64.0,28.4,62.9,1023,0
2026/7/15,10:47:11,27.4,51.0,28.1,64.0,28.4,62.8,1022,0
2026/7/15,10:47:16,27.6,51.0,28.1,64.0,28.4,62.7,1023,0
2026/7/15,10:47:21,27.5,51.0,28.4,64.0,28.4,62.5,1019,0
2026/7/15,10:47:26,27.5,52.0,28.4,59.0,28.4,62.4,1021,0
2026/7/15,10:47:31,27.7,52.0,28.2,56.0,28.4,62.4,1023,0
2026/7/15,10:47:36,27.6,52.0,28.2,55.0,28.4,62.3,1023,0
2026/7/15,10:47:41,27.6,52.0,28.1,53.0,28.4,62.2,1023,0
2026/7/15,10:47:46,27.6,51.0,28.2,52.0,28.5,62.2,1023,0
2026/7/15,10:47:51,27.6,51.0,28.3,51.0,28.5,62.1,1023,0
2026/7/15,10:47:56,27.7,51.0,28.1,52.0,28.5,62.1,1021,0
2026/7/15,10:48:1,27.6,51.0,28.2,53.0,28.5,62.0,1021,0
2026/7/15,10:48:6,27.7,51.0,28.2,53.0,28.5,62.0,1021,0
2026/7/15,10:48:11,27.7,50.0,28.1,52.0,28.5,61.9,1023,0
2026/7/15,10:48:16,27.7,51.0,28.2,52.0,28.5,61.8,1023,0
2026/7/15,10:48:21,27.7,51.0,28.2,52.0,28.5,61.7,1023,0
2026/7/15,10:48:26,27.7,50.0,28.2,52.0,28.5,61.6,1022,0
2026/7/15,10:48:31,27.7,50.0,28.1,51.0,28.5,61.5,1021,0
2026/7/15,10:48:36,27.7,50.0,28.1,51.0,28.6,61.4,1023,0
2026/7/15,10:48:41,27.7,50.0,28.0,52.0,28.6,61.4,1019,0
