X,date,sampling_day,mound_id,vegetation_type,mound_height_cm,maj_diameter_cm,min_diameter_cm,canopy_cover,understory_cover,mound_volume,Arquivo,Ponto,Tipo_Ambiente,ID_Completo,Data,Tempo_Pico_T1,Temp_Max_T1,Tempo_Pico_T2,Temp_Max_T2,Amp_T1,Amp_T2,Atraso_Minutos,Razao_Amortecimento,Modulo_Delta_T_Pico,Modulo_Delta_T_Medio
1,13/07/2026,13,1CA,Campo_aberto,58,101,77,0,0,236.177605314022,cut_0713_P1_1CA_T1.csv,P1,Campo,P1_1CA,2026-07-13,2026-07-13T12:46:37Z,41.2,2026-07-13T17:09:40Z,23.5,26.4,3.5,263.05,0.1326,17.7,7.08
2,13/07/2027,13,2CA,Campo_aberto,76,170,131,26,40,886.201399675633,cut_0716_P3_2CA.csv,P3,Campo,P3_2CA,2026-07-16,2026-07-16T13:58:01Z,49.8,2026-07-16T19:12:47Z,29.2,32.4,5,314.77,0.1543,20.6,12.25
3,14/07/2026,14,1MA,Mata,64,99,88,83,25,291.941922112792,cut_0718_P6_1MA_T2.csv,P6,Mata,P6_1MA,2026-07-18,2026-07-18T13:06:39Z,25.5,2026-07-18T17:58:33Z,18.8,11.5,2.1,291.9,0.1826,6.7,3.96
4,15/07/2026,15,2MA,Mata,106,198,180,70,15,1978.07239840628,cut_0718_P7_2MA_T1.csv,P7,Mata,P7_2MA,2026-07-18,2026-07-18T15:32:48Z,33.5,2026-07-18T17:08:13Z,23.8,15.6,1.8,95.42,0.1154,9.7,4.22
5,15/07/2026,15,3MA,Mata,44,132,123,38,2,374.050587707015,cut_0715_P8_3MA_T1.csv,P8,Mata,P8_3MA,2026-07-15,2026-07-15T13:25:55Z,44.4,2026-07-15T16:46:33Z,24.5,25.9,3,200.63,0.1158,19.9,6.71
6,16/07/2026,16,3CA,Campo_aberto,51,118,82,0,2,258.383429387146,cut_0716_P9_3CA.csv,P9,Campo,P9_3CA,2026-07-16,2026-07-16T12:07:38Z,42.4,2026-07-16T19:00:59Z,24.8,26.3,2.2,413.35,0.0837,17.6,5.62
7,17/07/2026,17,4CA,Campo_aberto,64,73,64,0,4,156.560222694096,cut_0717_P10_4CA_T2.csv,P10,Campo,P10_4CA,2026-07-17,2026-07-17T13:56:45Z,44.6,2026-07-17T15:07:06Z,28,30.1,7.5,70.35,0.2492,16.6,7.62
8,17/07/2026,17,5CA,Campo_aberto,53,132,88,45,53,322.352538999541,cut_0717_P11_5CA_T1.csv,P11,Campo,P11_5CA,2026-07-17,2026-07-17T12:22:09Z,35.7,2026-07-17T18:53:16Z,24.9,21.4,2.8,391.12,0.1308,10.8,5.58
9,21/07/2026,21,4MA,Mata,58,85,79,95,61,203.926015132269,cut_0721_P12_4MA_T1.csv,P12,Mata,P12_4MA,2026-07-21,2026-07-21T12:31:24Z,26.5,2026-07-21T21:03:14Z,24.1,13.3,2.4,511.83,0.1805,2.4,5.23
10,21/07/2027,21,5MA,Mata,60,100,81,80,33,254.469004940773,cut_0721_P13_5MA_T2.csv,P13,Mata,P13_5MA,2026-07-21,2026-07-21T11:55:28Z,28,2026-07-21T19:55:12Z,22.6,14.5,3.2,479.73,0.2207,5.4,7.21
